channel,url,status,valid,reason
1,https://peaky.techcoder40.workers.dev/1.m3u8,500,False,HTTP 500
2,https://peaky.techcoder40.workers.dev/2.m3u8,500,False,HTTP 500
3,https://peaky.techcoder40.workers.dev/3.m3u8,500,False,HTTP 500
4,https://peaky.techcoder40.workers.dev/4.m3u8,500,False,HTTP 500
5,https://peaky.techcoder40.workers.dev/5.m3u8,500,False,HTTP 500
6,https://peaky.techcoder40.workers.dev/6.m3u8,500,False,HTTP 500
7,https://peaky.techcoder40.workers.dev/7.m3u8,500,False,HTTP 500
8,https://peaky.techcoder40.workers.dev/8.m3u8,500,False,HTTP 500
9,https://peaky.techcoder40.workers.dev/9.m3u8,500,False,HTTP 500
10,https://peaky.techcoder40.workers.dev/10.m3u8,500,False,HTTP 500
11,https://peaky.techcoder40.workers.dev/11.m3u8,500,False,HTTP 500
12,https://peaky.techcoder40.workers.dev/12.m3u8,500,False,HTTP 500
13,https://peaky.techcoder40.workers.dev/13.m3u8,500,False,HTTP 500
14,https://peaky.techcoder40.workers.dev/14.m3u8,500,False,HTTP 500
15,https://peaky.techcoder40.workers.dev/15.m3u8,500,False,HTTP 500
16,https://peaky.techcoder40.workers.dev/16.m3u8,500,False,HTTP 500
17,https://peaky.techcoder40.workers.dev/17.m3u8,500,False,HTTP 500
18,https://peaky.techcoder40.workers.dev/18.m3u8,500,False,HTTP 500
19,https://peaky.techcoder40.workers.dev/19.m3u8,500,False,HTTP 500
20,https://peaky.techcoder40.workers.dev/20.m3u8,500,False,HTTP 500
21,https://peaky.techcoder40.workers.dev/21.m3u8,500,False,HTTP 500
22,https://peaky.techcoder40.workers.dev/22.m3u8,500,False,HTTP 500
23,https://peaky.techcoder40.workers.dev/23.m3u8,500,False,HTTP 500
24,https://peaky.techcoder40.workers.dev/24.m3u8,500,False,HTTP 500
25,https://peaky.techcoder40.workers.dev/25.m3u8,500,False,HTTP 500
26,https://peaky.techcoder40.workers.dev/26.m3u8,500,False,HTTP 500
